Symbols	Description	SRR3143899	SRR3143916	SRR11033311	SRR11033312	SRR11033313	SRR11294126	SRR11294127	SRR11294128	SRR5809464	SRR5809465	SRR5809466	SRR5809467	SRR6910774	SRR6910775	SRR6910776	SRR12554271	SRR12554272	SRR12554273
Actn3	actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]	9.03465413607798	16.0656465837723	24.5231076105224	9.60922681966007	9.77742866400381	20.635583042843	13.5219805830239	13.7338896010728	4.67215129771	10.7476028638381	5.24354302839075	0	7.24593736654036	2.46267229509109	13.172925083886	6.36056140462526	4.07827882583108	5.61793759327536
Oc90	otoconin 90 [Source:ZFIN;Acc:ZDB-GENE-070912-300]	4.01540183825688	8.03282329188613	1.29068987423802	0	0.888857151273073	7.82729011969907	2.02829708745359	4.12016688032183	0	0	0	0	0	0.820890765030363	0	0	0.339856568819257	0.749058345770048
Ripk1	receptor (TNFRSF)-interacting serine-threonine kinase 1, like [Source:ZFIN;Acc:ZDB-GENE-070705-132]	19.0731587317202	10.5430805706005	32.2672468559505	6.00576676228754	11.55514296655	14.231436581271	15.5502776704775	21.2875288816628	70.08226946565	16.1214042957572	57.6789733122982	36.0649861081163	31.7009759786141	43.5072105466092	14.1138483041636	34.4218617191484	31.9465174690101	44.5689715733178
Src	v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog [Source:NCBI gene;Acc:325084]	19.0731587317202	18.5759038624867	19.3603481135703	12.0115335245751	18.6660001767345	10.6735774359533	20.2829708745359	10.3004172008046	9.34430259542001	64.4856171830287	36.7048011987352	48.086648144155	45.2871085408773	32.0147398361841	24.4640037272169	27.6871496436629	41.1226448271301	32.9585672138821
Tle6	TLE family member 2, transcriptional corepressor b [Source:ZFIN;Acc:ZDB-GENE-050208-677]	23.0885605699771	16.0656465837723	42.5927658498546	7.20692011474505	16.8882858741884	25.6165858462879	17.5785747579311	24.721001281931	65.41011816794	48.3642128872715	57.6789733122982	60.1083101801938	38.9469133451544	50.0743366668521	39.518775251658	53.8776966038845	48.2596327723345	49.8123799937082
Srpx	sushi-repeat containing protein X-linked [Source:ZFIN;Acc:ZDB-GENE-050327-43]	297.139736031009	161.158517293465	163.917614028228	282.271037827514	296.878288525206	270.39729504415	251.508838844245	252.016874179685	186.8860519084	96.728425774543	99.6273175394242	78.1408032342519	106.87757615647	113.28292557419	93.1513988074796	111.122749245512	106.035249471608	107.864401790887
Car11	carbonic anhydrase [Source:NCBI gene;Acc:30331]	122.971681296617	321.814983131188	273.62625333846	330.317171925815	135.99514414478	235.530275420036	346.838801954564	155.879646972176	3644.2780122138	5572.63208490006	3382.08525331203	8493.30422846138	1929.23082384137	2581.70145602049	9220.10663549992	5220.15015984303	5676.28441241923	4559.1436215294
Fbxl2	F-box and leucine-rich repeat protein 2 [Source:ZFIN;Acc:ZDB-GENE-030925-12]	109.921625322282	74.8056669056896	117.45277855566	88.8853480818556	81.7748579171227	119.544067282677	66.2577048568173	105.75094992826	14.01645389313	118.223631502219	41.948344227126	30.0541550900969	43.4756241992422	33.6565213662449	45.1643145733234	46.3946831866783	46.5603499282382	40.4491506715826
Atp2b1	ATPase plasma membrane Ca2+ transporting 1a [Source:ZFIN;Acc:ZDB-GENE-030925-29]	79.3041863055734	89.3651591222332	83.8948418254712	82.8795813195681	63.9977148916613	52.6563153507028	95.3299631103188	51.5020860040228	158.85314412214	80.6070214787858	162.549833880113	264.476564792853	121.369450889551	133.805194699949	253.108346254667	165.748747191117	170.947854116086	157.30225261171
Pkd2	polycystic kidney disease 2 [Source:NCBI gene;Acc:432387]	43.1655697612615	22.5923155084297	76.1507025800431	10.8103801721176	17.7771430254615	32.0207323078598	32.4527533992574	33.6480295226283	102.78732854962	75.2332200468668	141.57566176655	90.1624652702907	61.5904676155931	115.745597869281	60.2190860977646	93.163517044217	81.2257199478024	98.8757016416463
Car9	carbonic anhydrase II [Source:ZFIN;Acc:ZDB-GENE-031219-5]	16.5635325828096	14.5594922165436	18.0696582393323	13.2126868770326	13.3328572690961	9.25043377782618	24.3395650494431	5.4935558404291	4.67215129771	10.7476028638381	5.24354302839075	12.0216620360388	0	4.92534459018218	0	0.374150670860309	2.03913941291554	3.37076255596522
Sox6	SRY-box transcription factor 6 [Source:ZFIN;Acc:ZDB-GENE-081120-6]	60.2310275738532	69.7851523482608	77.4413924542811	57.6553609179604	65.7754291942074	62.6183209575926	72.3425961191781	71.4162259255783	70.08226946565	193.456851549086	57.6789733122982	336.606537009085	135.861325622632	151.864791530617	225.821572866617	168.367801887139	148.517320574015	162.920190204985
Stat6	signal transducer and activator of transcription 6, interleukin-4 induced [Source:ZFIN;Acc:ZDB-GENE-030131-9359]	71.7753078588417	37.1518077249734	108.417949435994	33.6322938688102	36.443143202196	68.310895590101	54.7640213612469	61.8025032048274	126.14808503817	150.466440093734	125.845032681378	228.411578684736	125.898161743639	139.551430055162	165.602486768853	143.673857610359	164.150722739701	149.06261080824
Stat5b	signal transducer and activator of transcription 5a [Source:ZFIN;Acc:ZDB-GENE-030820-2]	18.069308272156	6.0246174689146	21.9417278620463	2.40230670491502	10.6662858152769	6.40414646157197	15.5502776704775	6.18025032048274	51.39366427481	26.8690071595953	41.948344227126	18.0324930540581	43.4756241992422	19.7013783607287	24.4640037272169	30.306204339685	26.8486689367213	34.8312130783072
Sfxn1	sideroflexin 1 [Source:ZFIN;Acc:ZDB-GENE-040801-45]	0.50192522978211	0.502051455742883	1.29068987423802	0	0	0	0	0	4.67215129771	5.37380143191905	5.24354302839075	12.0216620360388	4.52871085408773	3.28356306012145	1.88184644055514	2.61905469602216	0.339856568819257	5.24340842039033
Bmp4	bone morphogenetic protein 4 [Source:ZFIN;Acc:ZDB-GENE-980528-2059]	4.01540183825688	11.5471834820863	14.1975886166182	3.60346005737252	5.33314290763844	7.11571829063552	6.08489126236077	7.55363928059002	18.68860519084	32.2428085915143	5.24354302839075	18.0324930540581	9.05742170817545	24.6267229509109	29.1686198286047	14.5918761635521	27.1885255055405	11.9849335323208
Pth1r	parathyroid hormone 1 receptor [Source:ZFIN;Acc:ZDB-GENE-991123-8]	0	0	0	0	0.888857151273073	0	0	0	4.67215129771	10.7476028638381	5.24354302839075	6.01083101801938	0	0.820890765030363	0	0.374150670860309	0.339856568819257	0.374529172885024
Otop1	otopetrin 1 [Source:HGNC Symbol;Acc:HGNC:19656]	10.0385045956422	3.51436019020018	0	0	8.88857151273073	5.69257463250842	3.38049514575598	6.86694480053638	0	0	0	0	3.62296868327018	2.46267229509109	0.940923220277571	1.12245201258093	2.03913941291554	1.4981166915401
Mapk7	mitogen-activated protein kinase 7 [Source:ZFIN;Acc:ZDB-GENE-050320-10]	172.160353815264	155.133899824551	169.08037352518	126.121102008038	252.435430961553	251.896427488497	148.741786413263	223.175706017432	65.41011816794	112.8498300703	89.1402314826427	66.1191411982132	95.1029279358422	101.790454863765	74.3329344019281	81.5648462475474	83.9445724983564	88.0143556279806
Rflna	refilin A [Source:ZFIN;Acc:ZDB-GENE-030616-80]	7.02695321694954	2.51025727871442	9.03482911966613	1.20115335245751	0.888857151273073	4.98100280344486	3.38049514575598	4.12016688032183	28.03290778626	16.1214042957572	10.4870860567815	12.0216620360388	11.7746482206281	4.10445382515181	9.40923220277572	10.4762187840887	8.83627078930068	11.9849335323208
