Symbols	Description	SRR5809464	SRR5809465	SRR5809466	SRR5809467	SRR6910774	SRR6910775	SRR6910776	SRR12554271	SRR12554272	SRR12554273	SRR3143894	SRR3143897	SRR11294120	SRR11294121	SRR11294122
Prkag3	protein kinase, AMP-activated, gamma 3b non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-060421-6938]	74.75442076336	80.6070214787858	68.1660593690797	54.0974791621744	98.7258966191124	90.2979841533399	95.0332452480347	76.3267368555031	78.167010828429	77.5275387871999	37.0141768179011	44.5459134240073	20.0685831071996	36.7535259702393	33.3226993749096
Tamalin	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:ZFIN;Acc:ZDB-GENE-060312-30]	112.13163114504	306.306681619386	183.524005993676	216.389916648698	69.742147152951	147.760337705465	74.3329344019281	168.741952557999	180.123981474206	173.407007045766	328.022187662089	406.852675939267	465.98271019644	388.681123959243	362.570863347897
Mapk14	mitogen-activated protein kinase 14a [Source:NCBI gene;Acc:65237]	172.86959801527	252.568667300196	146.819204794941	216.389916648698	207.414957117218	238.879212623835	233.348958628838	201.667211593707	210.031359530301	203.743870049453	406.836857265723	382.352423556063	535.978012253258	391.198488751725	520.729346948214
H2-Ke6	hydroxysteroid (17-beta) dehydrogenase 8 [Source:ZFIN;Acc:ZDB-GENE-010110-1]	126.14808503817	80.6070214787858	68.1660593690797	72.1299722162325	105.066091814835	125.596287049645	120.438172195529	93.9118183859376	110.113528297439	84.6435930720154	33.1851240436355	32.2957872324053	25.4528371115703	36.2500530117429	33.3226993749096
Slc2a1	solute carrier family 2 member 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3158]	126.14808503817	75.2332200468668	230.715893249193	228.411578684736	201.074761921495	291.416221585779	78.0966272830384	190.068540797037	167.209431859074	151.684315018435	32.8660363124467	43.0610496432071	12.7264185557851	21.14586425685	15.4179653824209
Kifc1	kinesin family member C1 [Source:ZFIN;Acc:ZDB-GENE-000208-21]	37.37721038168	53.7380143191905	68.1660593690797	36.0649861081163	60.6847254447755	45.9698828417003	27.2867733880496	36.6667657443103	54.0371944422618	44.5689715733178	73.3901781734246	95.0312819712156	110.621945907978	124.861293707114	119.862247005272
Echs1	enoyl CoA hydratase, short chain, 1, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030616-617]	1878.20482167942	1923.82091262702	2113.14784044147	1815.27096744185	2580.45944465919	1979.1676344882	2117.07724562454	2022.65852667083	2035.40099065853	2006.72730831796	589.993214968096	736.492435276921	521.78316078719	680.191966928676	629.649812069188
Kcnmb2	si:ch211-247n2.1 [Source:ZFIN;Acc:ZDB-GENE-141216-101]	1186.72642961834	617.987164670691	844.21042757091	571.028946711841	1493.56883967813	719.921200931628	697.22410622568	845.206365473438	866.974107057924	826.585884557248	367.908154060689	327.783679611654	374.9398697589	375.590827038336	348.644959131517
Stim2	stromal interaction molecule 2b [Source:ZFIN;Acc:ZDB-GENE-120404-3]	4.67215129771	10.7476028638381	10.4870860567815	12.0216620360388	4.52871085408773	4.10445382515181	2.82276966083271	0.374150670860309	2.71885255055405	6.36699593904541	11.4871583227969	10.7652624108018	13.2158961925461	13.5937698794036	10.4444281622851
Prkaca	protein kinase, cAMP-dependent, catalytic, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1351]	9.34430259542001	10.7476028638381	20.974172113563	6.01083101801938	6.34019519572282	6.5671261202429	7.52738576222057	6.73471207548556	11.2152667710355	5.24340842039033	27.441544882237	23.3866045476038	25.4528371115703	20.6423912983536	28.3491621547738
